MAV,RMS,WL,ZCR,bp_d,bp_t,bp_a,bp_b,bp_30_80,bp_hi,specEnt,kurt,Signal,Start,End,Cluster
34.2106261467775,39.0866079679045,660.153258064772,0.0234375,528.559802896294,156.000628069294,3.7095417407274,0.849407146153697,0.0896025563973816,0.0832222921370212,0.353024187641896,2.72541001577379,dalt,3073,3584,1
31.3969729565099,38.2509986870522,583.901998348858,0.03125,461.00718069591,92.2593600252029,1.95995134828738,0.463866225587949,0.0643246517591613,0.0603683789208136,0.334541707849584,2.38555084428675,dalt,3329,3840,1
25.3077298745418,31.2841127919967,707.555729160274,0.0390625,631.575517899997,102.333179343941,2.49315305513736,0.527870622355934,0.0442698544457211,0.0402223933058178,0.396703243186901,2.32987339110804,dalt,3585,4096,1
48.9285785709573,66.7704861639937,988.598314881128,0.02734375,2056.81709826663,218.934451147166,5.82841683752507,1.23177544447111,0.157447966612135,0.146417867272932,0.355333139201631,2.98986479899837,dalt,3841,4352,2
65.9235326148375,83.791010018257,1074.48907221116,0.01953125,2287.03020421578,205.712585587208,6.21273654072813,1.51885588332052,0.286977156149248,0.271633280428543,0.337660309939296,3.14520459099363,dalt,4097,4608,2
68.8260617361225,83.3891727369119,994.866324798487,0.01171875,3115.6546929128,32.9579931970938,1.84469400448135,0.758812753059801,0.299431157489405,0.289012401272983,0.296779831277158,1.90933499432119,dalt,4353,4864,2
0.34484664911873,0.771667407175728,28.2176549454064,0.1484375,0.0193958433298892,0.0981678665976698,0.0193172229440396,0.00109194146855221,0.000180351077005931,0.000151237879699304,0.499061355146172,11.2016331623693,thalt,1,512,1
2.8950873232745,7.58270510847833,235.953865419294,0.1484375,8.30551634055313,64.5122398759804,16.8760567734336,0.579447050991053,0.0766030639543826,0.0530309894294904,0.493777897390065,14.9736579696361,thalt,257,768,1
2.75561120969106,7.57300587069495,224.591456310222,0.12890625,7.56419886472531,63.4133896925138,16.8176024150383,0.588053709539696,0.077430288369912,0.0533212807675074,0.49278923854633,15.0504262110523,thalt,513,1024,1
6.85186358228879e-12,8.26034516905807e-12,4.26955049099954e-10,0.07421875,1.26689621756951e-23,5.00706399292746e-23,3.00591028490521e-24,2.56783756678133e-25,2.61491363518261e-26,2.16460876535153e-26,1.77712398248596e-06,2.52609005108859,thalt,769,1280,1
0.441187523597734,1.22522236227582,35.3163270705649,0.06640625,0.0762352100799841,0.211872183633668,0.0278467358571753,0.000914247510394928,9.45850799355588e-05,6.22885567894651e-05,0.479039952575875,15.059503889623,thalt,1025,1536,1
0.5664759732724,1.27098219853442,46.2341130624831,0.125,0.175003242177594,1.38527890269601,0.380804577264467,0.0140888755480283,0.00184739937558486,0.00128303360225969,0.497580439454944,13.0855923347986,thalt,1281,1792,1
0.125288449681032,0.337973241500928,10.8947193962184,0.13671875,0.00770218994930074,0.0793790140453605,0.0249199644789424,0.00092727422677912,0.000123666284941263,8.67520926457166e-05,0.493795057641868,14.7040702132004,thalt,1537,2048,1
